variable,simple_label,label
B15002_001,Total,Total
B15002_003,No High School Diploma,No Schooling
B15002_004,No High School Diploma,4th grade
B15002_005,No High School Diploma,5th and 6th
B15002_006,No High School Diploma,7th and 8th
B15002_007,No High School Diploma,9th
B15002_008,No High School Diploma,10th
B15002_009,No High School Diploma,11th
B15002_010,No High School Diploma,12th
B15002_011,High School Diploma,High School Diploma
B15002_012,Some College,less than 1yr College
B15002_013,Some College,more than 1yr College but no degree
B15002_014,Associates Degree,Associates Degree
B15002_015,Bachelors Degree,Bachelors Degree
B15002_016,Masters Degree,Masters Degree
B15002_017,Professional Degree,Professional Degree
B15002_018,Doctorate Degree,Doctorate Degree
B15002_020,No High School Diploma,No Schooling
B15002_021,No High School Diploma,4th grade
B15002_022,No High School Diploma,5th and 6th
B15002_023,No High School Diploma,7th and 8th
B15002_024,No High School Diploma,9th
B15002_025,No High School Diploma,10th
B15002_026,No High School Diploma,11th
B15002_027,No High School Diploma,12th
B15002_028,High School Diploma,High School Diploma
B15002_029,Some College,less than 1yr College
B15002_030,Some College,more than 1yr College but no degree
B15002_031,Associates Degree,Associates Degree
B15002_032,Bachelors Degree,Bachelors Degree
B15002_033,Masters Degree,Masters Degree
B15002_034,Professional Degree,Professional Degree
B15002_035,Doctorate Degree,Doctorate Degree
