variable,simple_label,label
B01001_001,Total,Total
B01001_003,under 18,Under 5
B01001_004,under 18,5 to 9
B01001_005,under 18,10 to 14
B01001_006,under 18,15 to 17
B01001_007,18 to 64,18 and 19
B01001_008,18 to 64,20
B01001_009,18 to 64,21
B01001_010,18 to 64,22 to 24
B01001_011,18 to 64,25 to 29
B01001_012,18 to 64,30 to 34
B01001_013,18 to 64,35 to 39
B01001_014,18 to 64,40 to 44
B01001_015,18 to 64,45 to 49
B01001_016,18 to 64,50 to 54
B01001_017,18 to 64,55 to 59
B01001_018,18 to 64,60 to 61
B01001_019,18 to 64,62 to 64
B01001_020,65 to 85,65 to 66
B01001_021,65 to 85,67 to 69
B01001_022,65 to 85,70 to 74
B01001_023,65 to 85,75 to 79
B01001_024,65 to 85,80 to 84
B01001_025,over 85,85+
B01001_027,under 18,Under 5
B01001_028,under 18,5 to 9
B01001_029,under 18,10 to 14
B01001_030,under 18,15 to 17
B01001_031,18 to 64,18 and 19
B01001_032,18 to 64,20
B01001_033,18 to 64,21
B01001_034,18 to 64,22 to 24
B01001_035,18 to 64,25 to 29
B01001_036,18 to 64,30 to 34
B01001_037,18 to 64,35 to 39
B01001_038,18 to 64,40 to 44
B01001_039,18 to 64,45 to 49
B01001_040,18 to 64,50 to 54
B01001_041,18 to 64,55 to 59
B01001_042,18 to 64,60 to 61
B01001_043,18 to 64,62 to 64
B01001_044,65 to 85,65 to 66
B01001_045,65 to 85,67 to 69
B01001_046,65 to 85,70 to 74
B01001_047,65 to 85,75 to 79
B01001_048,65 to 85,80 to 84
B01001_049,over 85,85+
