MPO_AREA,MPO_FIPS,MPO_NAME,MSA_FIPS,MSA_NAME,COUNTY_FIPS,COUNTY_NAME,STATE_FIPS,STATE_NAME,STATE_LONG_NAME
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",35,Douglas,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",47,Gilpin,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",59,Jefferson,8,CO,Colorado
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",93,Livingston,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",99,Macomb,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,33780,"Monroe, MI (Metropolitan Statistical Area)",115,Monroe,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",125,Oakland,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",147,St. Clair,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,11460,"Ann Arbor, MI (Metropolitan Statistical Area)",161,Washtenaw,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",163,Wayne,26,MI,Michigan
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",15,Austin,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",39,Brazoria,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",71,Chambers,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",89,Colorado,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",157,Fort Bend,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",167,Galveston,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",201,Harris,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",291,Liberty,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",321,Matagorda,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",339,Montgomery,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",471,Walker,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",473,Waller,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",481,Wharton,48,TX,Texas
Los Angeles,SCAG,Southern California Association of Governments,20940,"El Centro, CA (Metropolitan Statistical Area)",25,Imperial,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",37,Los Angeles,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",59,Orange,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",65,Riverside,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",71,San Bernardino,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",111,Ventura,6,CA,California
Miami,SEFTC,Southeast Florida Transportation Council,33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",11,Broward,12,FL,Florida
Miami,SEFTC,Southeast Florida Transportation Council,33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",86,Miami-Dade,12,FL,Florida
Miami,SEFTC,Southeast Florida Transportation Council,33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",99,Palm Beach,12,FL,Florida
Minneapolis,Met Council,Metropolitan Council,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",3,Anoka,27,MN,Minnesota
Minneapolis,Met Council,Metropolitan Council,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",19,Carver,27,MN,Minnesota
Minneapolis,Met Council,Metropolitan Council,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",37,Dakota,27,MN,Minnesota
Minneapolis,Met Council,Metropolitan Council,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",53,Hennepin,27,MN,Minnesota
Minneapolis,Met Council,Metropolitan Council,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",123,Ramsey,27,MN,Minnesota
Minneapolis,Met Council,Metropolitan Council,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",139,Scott,27,MN,Minnesota
Minneapolis,Met Council,Metropolitan Council,33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",163,Washington,27,MN,Minnesota
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",5,Bronx,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",47,Kings,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",59,Nassau,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",61,New York,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",79,Putnam,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",81,Queens,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",85,Richmond,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",87,Rockland,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",103,Suffolk,36,NY,New York
New York City,NYMTC,New York Metropolitan Transportation Council,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",119,Westchester,36,NY,New York
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",3,Bergen,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",13,Essex,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",17,Hudson,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",19,Hunterdon,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",23,Middlesex,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",25,Monmouth,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",27,Morris,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",29,Ocean,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",31,Passaic,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",35,Somerset,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",37,Sussex,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",39,Union,34,NJ,New Jersey
Newark,NJPTA,North Jersey Transporttrion Planning Authority,10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",41,Warren,34,NJ,New Jersey
Orlando,MetroPlan,Metro Plan Orlando,36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",95,Orange,12,FL,Florida
Orlando,MetroPlan,Metro Plan Orlando,36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",97,Osceola,12,FL,Florida
Orlando,MetroPlan,Metro Plan Orlando,36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",117,Seminole,12,FL,Florida
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",5,Burlington,34,NJ,New Jersey
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",7,Camden,34,NJ,New Jersey
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",15,Gloucester,34,NJ,New Jersey
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",21,Mercer,34,NJ,New Jersey
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",17,Bucks,42,PA,Pennsylvania
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",29,Chester,42,PA,Pennsylvania
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",45,Delaware,42,PA,Pennsylvania
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",91,Montgomery,42,PA,Pennsylvania
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",101,Philadelphia,42,PA,Pennsylvania
Phoenix,MAG,Maricopa Association of Governments,38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",13,Maricopa,4,AZ,Arizona
Phoenix,MAG,Maricopa Association of Governments,38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",21,Pinal,4,AZ,Arizona
Portland,Metro,Oregon Metro,38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",5,Clackamas,41,OR,Oregon
Portland,Metro,Oregon Metro,38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",51,Multnomah,41,OR,Oregon
Portland,Metro,Oregon Metro,38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",67,Washington,41,OR,Oregon
Sacramento,SACOG,Sacramento Area Council of Governments,40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",17,El Dorado,6,CA,California
Sacramento,SACOG,Sacramento Area Council of Governments,40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",61,Placer,6,CA,California
Sacramento,SACOG,Sacramento Area Council of Governments,40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",67,Sacramento,6,CA,California
Sacramento,SACOG,Sacramento Area Council of Governments,49700,"Yuba City, CA (Metropolitan Statistical Area)",101,Sutter,6,CA,California
Sacramento,SACOG,Sacramento Area Council of Governments,40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",113,Yolo,6,CA,California
Sacramento,SACOG,Sacramento Area Council of Governments,49700,"Yuba City, CA (Metropolitan Statistical Area)",115,Yuba,6,CA,California
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",13,Atascosa,48,TX,Texas
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",29,Bexar,48,TX,Texas
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",91,Comal,48,TX,Texas
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",187,Guadalupe,48,TX,Texas
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",259,Kendall,48,TX,Texas
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",325,Medina,48,TX,Texas
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",493,Wilson,48,TX,Texas
San Diego,SANDAG,San Diego Association of Governments,41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",73,San Diego,6,CA,California
Seattle,PSRC,Puget Sound Regional Council,42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",33,King,53,WA,Washington
Seattle,PSRC,Puget Sound Regional Council,14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",35,Kitsap,53,WA,Washington
Seattle,PSRC,Puget Sound Regional Council,42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",53,Pierce,53,WA,Washington
Seattle,PSRC,Puget Sound Regional Council,42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",61,Snohomish,53,WA,Washington
St Louis,EWG,East-West Gateway Council of Governments,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",119,Madison,17,IL,Illinois
St Louis,EWG,East-West Gateway Council of Governments,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",133,Monroe,17,IL,Illinois
St Louis,EWG,East-West Gateway Council of Governments,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",163,St. Clair,17,IL,Illinois
St Louis,EWG,East-West Gateway Council of Governments,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",71,Franklin,29,MO,Missouri
St Louis,EWG,East-West Gateway Council of Governments,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",99,Jefferson,29,MO,Missouri
St Louis,EWG,East-West Gateway Council of Governments,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",183,St. Charles,29,MO,Missouri
